group_type,metric,n,mean,sd,median,q1,q3,ClassName,RoiSizeBin
class,empty_prediction,134,0.15671641791044777,0.3648972996300435,0.0,0.0,0.0,IBC,
class,missed_target,134,0.5074626865671642,0.5018202754201979,1.0,0.0,1.0,IBC,
class,dice,94,0.31260345124444255,0.3140440346804987,0.28188089514419157,3.6438223805292295e-09,0.6014889194439051,IGM,
class,iou,94,0.23070845377567664,0.2493062447376279,0.16406525842356579,3.6438223805292295e-09,0.4301067055085343,IGM,
class,pixel_precision,94,0.2784999557316823,0.301792954399232,0.22670185055399344,8.452233178729127e-09,0.497912152314562,IGM,
class,pixel_sensitivity,94,0.4333737746187603,0.4153625730103827,0.42214912590508613,9.348290510876282e-09,0.8167673328835268,IGM,
class,gt_coverage,94,0.4333737746187603,0.4153625730103827,0.42214912590508613,9.348290510876282e-09,0.8167673328835268,IGM,
class,prediction_purity,94,0.2784999557316823,0.301792954399232,0.22670185055399344,8.452233178729127e-09,0.497912152314562,IGM,
class,pred_gt_area_ratio,94,2.358850748307738,3.2002374450639004,1.6540551839464883,0.9158694092322411,2.559879454926625,IGM,
class,empty_prediction,94,0.010638297872340425,0.10314212462587935,0.0,0.0,0.0,IGM,
class,missed_target,94,0.4148936170212766,0.4953455287595169,0.0,0.0,1.0,IGM,
roi_size,dice,4,0.7419661717046718,0.08462678000889447,0.7221447531622898,0.6755762429384953,0.7885346819284663,,large
roi_size,iou,4,0.595345172112419,0.11033289773676679,0.5671308679884155,0.5100924477221254,0.6523835923787092,,large
roi_size,pixel_precision,4,0.7110567328406947,0.16225430147651482,0.700872914993091,0.6190951735845535,0.7928344742492323,,large
roi_size,pixel_sensitivity,4,0.8442431509763033,0.2058504632993416,0.9313038021112314,0.8258869013872208,0.9496600517003139,,large
roi_size,gt_coverage,4,0.8442431509763033,0.2058504632993416,0.9313038021112314,0.8258869013872208,0.9496600517003139,,large
roi_size,prediction_purity,4,0.7110567328406947,0.16225430147651482,0.700872914993091,0.6190951735845535,0.7928344742492323,,large
roi_size,pred_gt_area_ratio,4,1.2689661355868238,0.4890609357937585,1.3736205671105792,1.120388890645753,1.52219781205165,,large
roi_size,empty_prediction,4,0.0,0.0,0.0,0.0,0.0,,large
roi_size,missed_target,4,0.0,0.0,0.0,0.0,0.0,,large
roi_size,dice,59,0.3483107073601872,0.3584550450922407,0.22556391060626862,1.9063180791516558e-09,0.728132749210098,,medium
roi_size,iou,59,0.274434035137122,0.30050612062933507,0.1271186451245537,1.9063180791516558e-09,0.572816006405043,,medium
roi_size,pixel_precision,59,0.3919214809360102,0.36528878879684856,0.33179723546293793,1.1715538366215802e-08,0.7705714903885945,,medium
roi_size,pixel_sensitivity,59,0.4539518929565887,0.4555440099530922,0.35472973190969687,2.6909722149733556e-09,0.9687610777169137,,medium
roi_size,gt_coverage,59,0.4539518929565887,0.4555440099530922,0.35472973190969687,2.6909722149733556e-09,0.9687610777169137,,medium
roi_size,prediction_purity,59,0.3919214809360102,0.36528878879684856,0.33179723546293793,1.1715538366215802e-08,0.7705714903885945,,medium
roi_size,pred_gt_area_ratio,59,1.0671000683106002,1.0311723737936518,0.8565891472868217,0.2509885294955828,1.5662159993581,,medium
roi_size,empty_prediction,59,0.0847457627118644,0.2808936228404367,0.0,0.0,0.0,,medium
roi_size,missed_target,59,0.4406779661016949,0.5007300339703321,0.0,0.0,1.0,,medium
roi_size,dice,67,0.4076737627165566,0.32261125204082425,0.4611872158420383,5.889689543982315e-09,0.6585629927057763,,small
roi_size,iou,67,0.30950862640283533,0.27129828764929326,0.2997032661729873,5.889689543982315e-09,0.4909384850800904,,small
roi_size,pixel_precision,67,0.3986274639277234,0.3255216785603486,0.41983122485267677,0.05921728080327862,0.6324407676066612,,small
roi_size,pixel_sensitivity,67,0.5513260339236132,0.3968503606683982,0.7653846162869823,6.097560938429506e-09,0.9107794365665591,,small
roi_size,gt_coverage,67,0.5513260339236132,0.3968503606683982,0.7653846162869823,6.097560938429506e-09,0.9107794365665591,,small
roi_size,prediction_purity,67,0.3986274639277234,0.3255216785603486,0.41983122485267677,0.05921728080327862,0.6324407676066612,,small
roi_size,pred_gt_area_ratio,67,1.6953690034527218,1.4451121363882091,1.3884615384615384,0.7149122807017544,2.0705047976637463,,small
roi_size,empty_prediction,67,0.04477611940298507,0.20837290442824927,0.0,0.0,0.0,,small
roi_size,missed_target,67,0.26865671641791045,0.446606380562069,0.0,0.0,1.0,,small
roi_size,dice,98,0.1536392856441089,0.24761665631932017,8.130618654142504e-09,3.6825874792299368e-09,0.30326749443884143,,tiny
roi_size,iou,98,0.10752279342997076,0.1846788519240659,8.130618654142504e-09,3.6825874792299368e-09,0.17878700334937997,,tiny
roi_size,pixel_precision,98,0.2764120720896343,0.3793680251251673,0.0006901558606177165,5.362988046986627e-09,0.4703830787085424,,tiny
roi_size,pixel_sensitivity,98,0.23994475674941312,0.3576205866546523,1.5686274262783548e-08,9.711538367196746e-09,0.5791931666588405,,tiny
