level,calibration,metric,estimate,lower,upper,valid_iterations,point_check
slice_subject_clustered,calibrated,macro_f1,0.7525399543378994,0.581936408425728,0.8747073591256306,5000,0.7525399543378994
slice_subject_clustered,calibrated,brier,0.14739331326473934,0.05926394320224096,0.2896494105530607,5000,0.14739331326473934
slice_subject_clustered,calibrated,ece,0.10047071307058061,0.051449120124138756,0.27769171872518905,5000,0.10047071307058061
slice_subject_clustered,calibrated,calibration_slope,0.8065805546465664,0.30620477956168934,1.7033772654939643,5000,0.8065805546465664
slice_subject_clustered,calibrated,calibration_intercept,0.46056382390956024,-0.7381688986846888,2.1428633937418478,5000,0.46056382390956024
case_subject_clustered,raw,auroc,0.898148148148148,0.7,1.0,5000,0.898148148148148
case_subject_clustered,raw,auprc,0.9056048345264032,0.7125,1.0,5000,0.9056048345264032
case_subject_clustered,raw,accuracy,0.8095238095238095,0.6190476190476191,0.9523809523809523,5000,0.8095238095238095
case_subject_clustered,raw,balanced_accuracy,0.8194444444444444,0.6346153846153846,0.9615384615384616,5000,0.8194444444444444
case_subject_clustered,raw,sensitivity,0.8888888888888888,0.625,1.0,5000,0.8888888888888888
case_subject_clustered,raw,specificity,0.75,0.46153846153846156,1.0,5000,0.75
case_subject_clustered,raw,precision,0.7272727272727273,0.4444444444444444,1.0,5000,0.7272727272727273
case_subject_clustered,raw,f1,0.8,0.5454545454545454,0.9565217391304348,5000,0.8
case_subject_clustered,raw,macro_f1,0.8090909090909091,0.6111111111111112,0.9519450800915332,5000,0.8090909090909091
case_subject_clustered,raw,brier,0.13872536564608923,0.05027734694275785,0.2526343174841169,5000,0.13872536564608923
case_subject_clustered,raw,ece,0.20210048414181853,0.12948562896971622,0.35367008495734303,5000,0.20210048414181853
case_subject_clustered,raw,calibration_slope,0.9199935280568597,0.35232747576803247,53.244018170161695,5000,0.9199935280568597
case_subject_clustered,raw,calibration_intercept,-0.4480527319192149,-35.0517261695063,0.7284379712623633,5000,-0.4480527319192149
case_subject_clustered,calibrated,auroc,0.898148148148148,0.7,1.0,5000,0.898148148148148
case_subject_clustered,calibrated,auprc,0.9056048345264032,0.7125,1.0,5000,0.9056048345264032
case_subject_clustered,calibrated,accuracy,0.8571428571428571,0.6666666666666666,1.0,5000,0.8571428571428571
case_subject_clustered,calibrated,balanced_accuracy,0.8472222222222222,0.6666666666666666,1.0,5000,0.8472222222222222
case_subject_clustered,calibrated,sensitivity,0.7777777777777778,0.45454545454545453,1.0,5000,0.7777777777777778
case_subject_clustered,calibrated,specificity,0.9166666666666666,0.7272727272727273,1.0,5000,0.9166666666666666
case_subject_clustered,calibrated,precision,0.875,0.6,1.0,5000,0.875
case_subject_clustered,calibrated,f1,0.8235294117647058,0.5555555555555556,1.0,5000,0.8235294117647058
case_subject_clustered,calibrated,macro_f1,0.851764705882353,0.6541176470588235,1.0,5000,0.851764705882353
case_subject_clustered,calibrated,brier,0.12329422497789201,0.04406951943359405,0.2377172151352335,5000,0.12329422497789201
case_subject_clustered,calibrated,ece,0.14607383785296418,0.0972759175541885,0.30681399618473293,5000,0.14607383785296418
case_subject_clustered,calibrated,calibration_slope,0.7924607416074932,0.3034442903406723,42.735231833384454,5000,0.7924607416074932
case_subject_clustered,calibrated,calibration_intercept,0.3078128517662089,-1.2348232559210361,8.168160289816493,5000,0.3078128517662089
