group_type,metric,n,mean,sd,median,q1,q3,ClassName,RoiSizeBin
class_roi_size,prediction_purity,29,0.5547397147353199,0.26602223046272055,0.5563909791113121,0.3616557748112075,0.7887931043586505,IBC,small
class_roi_size,pred_gt_area_ratio,29,1.4181545443020274,0.6821997523523415,1.2788461538461537,1.0566037735849056,2.03125,IBC,small
class_roi_size,empty_prediction,29,0.0,0.0,0.0,0.0,0.0,IBC,small
class_roi_size,missed_target,29,0.0,0.0,0.0,0.0,0.0,IBC,small
class_roi_size,dice,32,0.39651114950521754,0.31844194675994747,0.4780171857138098,6.959172803920546e-09,0.566863514110772,IBC,tiny
class_roi_size,iou,32,0.2980654885402768,0.2681052219505956,0.31408287833109994,6.959172803920546e-09,0.3956117509323319,IBC,tiny
class_roi_size,pixel_precision,32,0.3455435515916859,0.28750372771249294,0.34479209318159554,6.607142411989827e-08,0.6065916022552928,IBC,tiny
class_roi_size,pixel_sensitivity,32,0.5249003572194462,0.4164357537968388,0.5845238208701811,1.5395220351064085e-08,0.9254464292115753,IBC,tiny
class_roi_size,gt_coverage,32,0.5249003572194462,0.4164357537968388,0.5845238208701811,1.5395220351064085e-08,0.9254464292115753,IBC,tiny
class_roi_size,prediction_purity,32,0.3455435515916859,0.28750372771249294,0.34479209318159554,6.607142411989827e-08,0.6065916022552928,IBC,tiny
class_roi_size,pred_gt_area_ratio,32,1.9777003410001783,2.092966456798366,1.6057692307692308,1.0375744047619049,2.370394736842105,IBC,tiny
class_roi_size,empty_prediction,32,0.0,0.0,0.0,0.0,0.0,IBC,tiny
class_roi_size,missed_target,32,0.3125,0.47092907485988494,0.0,0.0,1.0,IBC,tiny
class_roi_size,dice,5,0.681470041140477,0.19668660490754544,0.7108433737428197,0.5888594167182629,0.7898305086526859,IGM,large
class_roi_size,iou,5,0.5436218432212436,0.22618379116957069,0.5514018697578079,0.41729323363036347,0.6526610649122394,IGM,large
class_roi_size,pixel_precision,5,0.6853309835991654,0.21724720549536375,0.7871621625216856,0.5634517772037414,0.8098039219415609,IGM,large
class_roi_size,pixel_sensitivity,5,0.6840369444611898,0.18595336641784782,0.6334355833843013,0.616666667199074,0.7925170071555834,IGM,large
class_roi_size,gt_coverage,5,0.6840369444611898,0.18595336641784782,0.6334355833843013,0.616666667199074,0.7925170071555834,IGM,large
class_roi_size,prediction_purity,5,0.6853309835991654,0.21724720549536375,0.7871621625216856,0.5634517772037414,0.8098039219415609,IGM,large
class_roi_size,pred_gt_area_ratio,5,1.026826449178658,0.15808269281578297,1.036624203821656,1.0068027210884354,1.0944444444444446,IGM,large
class_roi_size,empty_prediction,5,0.0,0.0,0.0,0.0,0.0,IGM,large
class_roi_size,missed_target,5,0.0,0.0,0.0,0.0,0.0,IGM,large
class_roi_size,dice,21,0.6365094335128936,0.23599054171354902,0.7371007374237092,0.6025408352064057,0.7531572907541249,IGM,medium
class_roi_size,iou,21,0.5012983475469914,0.2116026693185692,0.5836575883586428,0.43116883190757294,0.6040515661067191,IGM,medium
class_roi_size,pixel_precision,21,0.5692098931774735,0.24551830785285694,0.6276595751282632,0.44031830312955134,0.7843551801599257,IGM,medium
class_roi_size,pixel_sensitivity,21,0.759431440289858,0.27301203772528354,0.8772727275516529,0.7534722230782215,0.9315789475484765,IGM,medium
class_roi_size,gt_coverage,21,0.759431440289858,0.27301203772528354,0.8772727275516529,0.7534722230782215,0.9315789475484765,IGM,medium
class_roi_size,prediction_purity,21,0.5692098931774735,0.24551830785285694,0.6276595751282632,0.44031830312955134,0.7843551801599257,IGM,medium
class_roi_size,pred_gt_area_ratio,21,1.375432953327613,0.4942524367737557,1.4318181818181819,1.05,1.5809859154929577,IGM,medium
class_roi_size,empty_prediction,21,0.0,0.0,0.0,0.0,0.0,IGM,medium
class_roi_size,missed_target,21,0.047619047619047616,0.2182178902359924,0.0,0.0,0.0,IGM,medium
class_roi_size,dice,35,0.5969511502798102,0.322562889671384,0.7117117123610096,0.4894736850858726,0.8385871852437679,IGM,small
class_roi_size,iou,35,0.4895864527197202,0.29091998039298267,0.5524475540124212,0.32405788808992836,0.7220586872008261,IGM,small
class_roi_size,pixel_precision,35,0.57441913217791,0.33516003720768034,0.6335877890565818,0.3684812114382785,0.8668997678087818,IGM,small
